Time,Event,Action,Result
2026-04-19T05:33:51.998808+00:00,Snore @ 443Hz,Count #1,FSR=FSR_C
2026-04-19T05:33:52.005163+00:00,Step A,INFLATE_10 sent,Level 1/3
2026-04-19T05:33:52.007430+00:00,Step B,10s verification window,Holding…
2026-04-19T05:33:55.312357+00:00,AOS Monitor,Silence detected,Starting 15s apnea timer
2026-04-19T05:33:58.711000+00:00,Snore @ 421Hz,Count #2,FSR=FSR_C
2026-04-19T05:33:58.711000+00:00,Step A,INFLATE_20 sent,Level 2/3
2026-04-19T05:33:58.711000+00:00,Step B,10s verification window,Holding…
2026-04-19T05:34:18.971286+00:00,Snore @ 130Hz,Count #1,FSR=FSR_C
2026-04-19T05:34:18.971286+00:00,Step A,INFLATE_10 sent,Level 1/3
2026-04-19T05:34:18.974816+00:00,Step B,10s verification window,Holding…
2026-04-19T05:34:22.325159+00:00,Snore @ 309Hz,Count #2,FSR=FSR_C
2026-04-19T05:34:22.326331+00:00,Step A,INFLATE_20 sent,Level 2/3
2026-04-19T05:34:22.326331+00:00,Step B,10s verification window,Holding…
2026-04-19T05:34:25.693303+00:00,Snore @ 255Hz,Count #3,FSR=FSR_C
2026-04-19T05:34:25.693303+00:00,Step A,INFLATE_30 sent,Level 3/3
2026-04-19T05:34:25.693303+00:00,Step B,10s verification window,Holding…
2026-04-19T05:34:28.979210+00:00,Step C,Re-listening after 10s,Capturing…
2026-04-19T05:34:29.054458+00:00,Snore @ 177Hz,Count #4,FSR=FSR_C
2026-04-19T05:34:29.054458+00:00,Escalation,Max tilt → HAPTIC,Micro-arousal
2026-04-19T05:34:32.327818+00:00,Step C,Re-listening after 10s,Capturing…
2026-04-19T05:34:32.398792+00:00,Snore @ 197Hz,Count #5,FSR=FSR_C
2026-04-19T05:34:32.398792+00:00,Step C Result,Snore persists → INFLATE_MORE,
2026-04-19T05:34:32.404059+00:00,Escalation,Max tilt → HAPTIC,Micro-arousal
2026-04-19T05:34:35.705553+00:00,Snore @ 204Hz,Count #6,FSR=FSR_C
2026-04-19T05:34:35.705553+00:00,Step C,Re-listening after 10s,Capturing…
2026-04-19T05:34:35.705553+00:00,Escalation,Max tilt → HAPTIC,Micro-arousal
2026-04-19T05:34:35.742309+00:00,Step C Result,Snore persists → INFLATE_MORE,
2026-04-19T05:34:39.056091+00:00,Snore @ 260Hz,Count #7,FSR=FSR_C
2026-04-19T05:34:39.057113+00:00,Escalation,Max tilt → HAPTIC,Micro-arousal
2026-04-19T05:34:39.097351+00:00,Step C Result,Snore persists → INFLATE_MORE,
2026-04-19T05:34:42.415942+00:00,Snore @ 256Hz,Count #8,FSR=FSR_C
2026-04-19T05:34:42.415942+00:00,Escalation,Max tilt → HAPTIC,Micro-arousal
2026-04-19T05:40:44.435930+00:00,Awake,Speech detected,Session paused
2026-04-19T05:40:48.177811+00:00,Awake,Speech detected,Session paused
2026-04-19T05:40:51.967585+00:00,Awake,Speech detected,Session paused
2026-04-19T05:40:55.582664+00:00,Awake,Speech detected,Session paused
2026-04-19T05:40:59.355432+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:02.955846+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:06.522673+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:10.312167+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:14.127085+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:17.783051+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:21.527764+00:00,Awake,Speech detected,Session paused
2026-04-19T05:41:25.197013+00:00,Awake,Speech detected,Session paused
2026-04-19T06:02:44.106822+00:00,Awake,Speech detected,Session paused
2026-04-19T06:02:47.715635+00:00,Awake,Speech detected,Session paused
2026-04-19T06:02:51.286824+00:00,Awake,Speech detected,Session paused
2026-04-19T06:02:54.909291+00:00,Awake,Speech detected,Session paused
2026-04-19T06:02:58.620395+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:02.375008+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:05.979201+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:09.760825+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:13.501516+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:17.073842+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:20.833693+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:24.360841+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:27.930618+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:31.587310+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:35.205848+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:38.787658+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:42.609407+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:46.167234+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:49.871945+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:53.436129+00:00,Awake,Speech detected,Session paused
2026-04-19T06:03:57.053855+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:00.606744+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:04.179551+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:07.784291+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:11.461252+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:15.086208+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:18.801208+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:22.473509+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:26.085222+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:29.839012+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:33.446234+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:37.030908+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:40.654121+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:44.248518+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:47.790779+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:51.577394+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:55.259877+00:00,Awake,Speech detected,Session paused
2026-04-19T06:04:58.886691+00:00,Awake,Speech detected,Session paused
